row_id,conversation_id,customer_message,spotify_reply,predicted_intent,is_dm_deflection,true_intent,escalation_decision,escalation_reason,labelling_notes
1,58926,"I was charged $4.99 for student spotify and i don’t get it, its annoying how this stuff keeps happening; can you please DM me!",@129421 Hey! We've just sent a DM your way. Let's carry on chatting there /TR,SUB_BILLING,True,,,,
2,825187,Update your app @115888-- experiencing a crash bug every single time I load up the app and look up @37632.,"@45731 Hi there! Can you let us know the device, operating system, and app version you're using? We'll see what we can suggest /PB",APP_TECHNICAL,False,,,,
3,2311091,y’all made me lose all the music I️ had,"@633111 Hey, that's not cool! Can you tell us what's happening exactly? We'll see what we can suggest /CH",GENERAL_ENQUIRY,False,,,,
4,1788795,"I have an unknown mobile device connecting to my premium account. I've tried disconnect all devices, pw change. What now?","@367357 Hey Zachary! Head to https://t.co/cnaaFIwigZ and click Sign Out Everywhere. You may want to change your password again, just to be safe /TF",SUB_BILLING,False,,,,
5,1324013,The playlist This Is: Rodriguez has a few tracks by different Rodriguez artists https://t.co/pK01JyjAfX,@428973 Hi Jacob! Help's here. Can you send us the song links that are from a different artist? We'll check things out /MU,CONTENT_LIBRARY,False,,,,
6,1033174,Spotify should add a category of your downloaded music,"@364441 Hey, this sounds like a great idea! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users /TM",PLAYBACK_ISSUE,False,,,,
7,2198133,why do @335281's podcsts like @642966 take so long to show up in my Windows desktop player? It's annoying to have to pull out my phone to play it. Is there a refresh button or something I'm missing?,"@642965 Hey there! Does logging out, restarting your desktop, and logging back in help at all? /LO",APP_TECHNICAL,False,,,,
8,1377510,"hey it’s me, ur neighborhood bird. im on my pc using the Comedy Central website to stream aaaaaaall my favs",@440677 Got it. Can you let us know the operating system and Spotify version you're running? /LO,PLAYBACK_ISSUE,False,,,,
9,825193,"MacOS 10.12.6 - view scale is set to ""actual size"". Here's a pic w/ your twitter feed for scale https://t.co/aBkDRGIVPG",@316532 Hmm. We can confirm that we didn't make any changes to the fonts and UI size. Could it be possible your app was previously zoomed out? /RK,APP_TECHNICAL,False,,,,
10,1968670,- my account is being consistently over-charged. Web chat help last month did not resolve. Please assist.,"@583281 Hey Jen, help's here. Can you DM us your account's username and email address? We'll take a look backstage /MQ https://t.co/ldFdZRiNAt",SUB_BILLING,True,,,,
11,2334624,noticed my account reverted back to the free version. I tried to reset my password and didn't receive an email. Can you help?,@675596 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,ACCOUNT_ACCESS,True,,,,
12,2919372,Everything is perfect. Thank You! https://t.co/Ju1F445OQB,"@808034 No worries! Give us a shout if you need help with anything else. Rest assured that we'll go to great lengths to get you your music, even go... https://t.co/GngFT9WrB8 /GS",GENERAL_ENQUIRY,False,,,,
13,2947636,stop charging me! Account cancelled months ago! How do I get a refund?,@814119 Hey Cheryl! Can you DM us your account's email address and username? We'll take a look backstage for you /KL https://t.co/ldFdZRiNAt,SUB_BILLING,True,,,,
14,429237,"Haha, just a very annoying song in this weeks “discover weekly”, which got stuck on my mind 😉",@217075 Your Discover Weekly should improve as it gets to know you. Keep adding your fave tracks to Your Library/playlists to mix things up 🙂 /AY,PLAYBACK_ISSUE,False,,,,
15,1632222,Did regression testing not catch that it redirects the login to the accounts page to the redirect to main page. Loop is stuck somewhere.,@499466 Hi Stephen! Thanks for the heads up. Our tech folks are investigating this as we speak. We'd recommend trying to reload the page again in an hour /DB,ACCOUNT_ACCESS,False,,,,
16,573197,"Spotify does not recognize my email / username any more I have the premium account you are taking money and I am getting no service! username rrsbullseye
email __email__
@SpotifyCares",@254711 Hey Roman! We've just sent a DM your way. Let's carry on chatting there /GS,SUB_BILLING,True,,,,
17,2964693,I sure wish @115888 would stop deleting all downloaded songs..,@817970 Hey Ryan! Could you send us a DM with your account's email address? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,PLAYBACK_ISSUE,True,,,,
18,1767696,Why can't we send songs to friends in spotify anymore? The purpose of #spotify is to #sharemusic! that's how it all started!,@531512 Hey Ben! You can still share music with your friends by following the steps here: https://t.co/RT7XNMNEAr 🙂 /RI,GENERAL_ENQUIRY,False,,,,
19,1272278,"If I purchase Premium for Family, will family members who travel regularly to US &amp; Canada still be able to access their music?
Thanks","@417818 Hey there! Currently, all members of a Premium for Family plan must reside at the same address. If they're only traveling, they should be able to access their tunes anytime and anywhere as long as an unrestricted internet connection is available. Hope this helps /LP",SUB_BILLING,False,,,,
20,2806031,- daughter no longer has access to email or remember ms password to get into Spotify account. Please help. Bank account being charged and can no longer use existing account.,"@782614 Hi Kim, help's here! Could you DM us your daughter's username and email address? We'll take a look backstage /JQ https://t.co/ldFdZRiNAt",SUB_BILLING,True,,,,
21,1848771,If I make another account can you move my playlist @115888,"@553580 Hey there! If you make a new account, we can definitely get your playlists and followers transferred over. Keep us in the loop /MQ",CONTENT_LIBRARY,False,,,,
22,2395914,"when will you change Seohyun's profile picture.. She released her 1st mini album in 2017 yet you're using an unsuitable old picture of her 😥
Please us3 of her album covers it'll be so much better 🤗
And thanks ❤️ https://t.co/pMBdxwgKh9","@689692 Hey there, we appreciate your feedback! Don't worry, we'll pass this on to the right team.  Let us know if you have other questions /GK",CONTENT_LIBRARY,False,,,,
23,113810,"Thanks. Nothing against the support personnel. But the 10k limit is ridiculous, esp. given your competitions' far more generous limits, coupled with the (otherwise excellent) ""discovery"" aspect of Spotify.","@141278 We appreciate you taking the time to reach out. No worries, we'll make sure your thoughts reach the right people /NH",CONTENT_LIBRARY,True,,,,
24,1660934,yo @115888 why don’t you have Possibility by @67232 ? I’m tryna get in my feels.,"@506655 Hey Gabe! We’d love to have all of her stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /RI",GENERAL_ENQUIRY,False,,,,
25,2225761,"why? Why Is #reputation not available yet? Like, I HAVE BEEN WAITING THIS ALBUM TO RELEASE SINCE LIKE LWYMMD CAME OUT. @118062",@649749 Hey there. We’ll have it available to you as soon as it’s available to us! https://t.co/0i8GpimuDa /TC,CONTENT_LIBRARY,False,,,,
26,1749856,I hit my library song limit again :( I wish i could shuffle through all the songs I've added. Have to prune songs into playlists :(,"@527380 We hear you 🎧 Rest assured, your feedback will be passed on to the right folks /CG",PLAYBACK_ISSUE,False,,,,
27,2218977,i hope you can include different color schemes or skins in your next update 🙂,"@648208 Hey Alex, nice idea! It's definitely something for the team to consider, and we'll make sure it reaches them 🙂 /AY",APP_TECHNICAL,False,,,,
28,2268705,"Yep, stops working on iTunes too. Not sure what Apple are trying to accomplish there.",@282722 Got it. You can try reaching out to Apple Support at https://t.co/26gJ93gEWp. They'll surely be able to help out 💚 /KT,PLAYBACK_ISSUE,False,,,,
29,2718582,any update on when Reputation will be on Spotify?,"@762952 Hey Angelica! We’ll have it available to you as soon as it’s available to us. For now, check out the singles: https://t.co/3h0TnPWP0c /JT",APP_TECHNICAL,False,,,,
30,2917976,Spotify is down and I need music,"@491261 Hey Maury! We've made a few tweaks backstage, so this should now be fixed up. Let us know if not /CE",GENERAL_ENQUIRY,True,,,,
31,888602,"I can play several albums, including this one in Chrome, but the application won't play it

https://t.co/fZ2Z9SvQb4 https://t.co/9J9vUW664T","@330968 Hi there! Can you let us know the device, operating system, and Spotify version you're rocking? We'll see what we can suggest /JM",PLAYBACK_ISSUE,False,,,,
32,2606365,Why can I no longer see the exact date albums and singles came out? I think you guys need to fix that...,@737371 We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /DF,CONTENT_LIBRARY,True,,,,
33,1838913,"Why can't I login to my account? App connects to Facebook then says ""login failed"" and website redirects and won't load",@551139 Hey there! Help's here. Can you DM us your account's email address or username? We'll take a look backstage /PB https://t.co/ldFdZRiNAt,ACCOUNT_ACCESS,True,,,,
34,2959333,hi can I stop getting presale  code emails 5 hours after presale starts,@816770 Hey Sophia! Your feedback has been noted and passed onto the right folks. Let us know if there's anything else we can help with /NH,GENERAL_ENQUIRY,False,,,,
35,276222,can someone help me get a refund. I cancelled my supscription but still got charged.,@181989 Hi! We've just sent you a bit more info over DM. We'll carry on helping out there /TC,SUB_BILLING,True,,,,
36,1702509,This is the Spotify app on a MacBook running Sierra. I believe I am running the most updated version. It fixed itself somehow,@516168 Great! Let us know if anything comes up. We're just a tweet away /JP,APP_TECHNICAL,False,,,,
